feature,importance
alcohol_to_density_ratio,0.11336841186001693
alcohol,0.07521044886793282
volatile acidity,0.06936367380045422
sulphates,0.0660192771529693
sulphates_log,0.06444382125614814
sulfur_ratio,0.056685153505231456
density,0.05474142691295887
total sulfur dioxide,0.05269623322195393
total sulfur dioxide_log,0.04933200585476517
total_acidity,0.044828836487390944
chlorides_log,0.044746497329716826
pH,0.04453986665036237
citric acid,0.04425579277873837
chlorides,0.042744433064558274
fixed acidity,0.040765866091621146
residual sugar_log,0.03442044009366699
free sulfur dioxide,0.03430011878131376
residual sugar,0.034090380525467284
free sulfur dioxide_log,0.03344731576473321
